Tree ID,Common Name,Scientific_Name,Genus,Family,DBH,Condition Class,Overall Tree Risk Rating,Tree and Shrub Work Phase,Prune,Pruning Goal 1,Removal,Primary Target,Secondary Target,Plant Part of Concern,Likelihood Failure,Likelihood Impact,Likelihood of Failure and Impact,Consequences of Failure,Advanced Assessment Stem,Advanced Assessment Crown
2759,Ash-White ,Fraxinus americana,Fraxinus,Oleaceae,8,Dead,High,1,...,...,Remove,Walking path,...,Stem,Imminent,Medium,Likely,Severe,...,...
2707,Cherry-Black ,Prunus serotina,Prunus,Rosaceae,30,Poor,Moderate,1,...,...,Remove,Sidewalk,...,Crown,Probable,Medium,Somewhat likely,Severe,...,...
53,Oak-Northern Red ,Quercus rubra,Quercus,Fagaceae,19,Poor,Moderate,1,...,...,Remove,Walking path,...,Branches,Probable,Medium,Somewhat likely,Severe,...,...
58,Oak-Northern Red ,Quercus rubra,Quercus,Fagaceae,14,Poor,Moderate,1,Yes,Reduce risk of branch stem and/or root failure,...,Walking path,...,Branches,Probable,Medium,Somewhat likely,Severe,...,...
61,Oak-White ,Quercus alba,Quercus ,Fagaceae,32,Fair,Moderate,1,Yes,Reduce risk of branch stem and/or root failure,...,Walking path,...,Branches,Probable,Medium,Somewhat likely,Severe,...,...
82,Oak-Scarlet ,Quercus coccinea,Quercus,Fagaceae,28,Fair,Moderate,1,Yes,Reduce risk of branch stem and/or root failure,...,Parking,...,Branches,Probable,Medium,Somewhat likely,Severe,...,...
117,Oak-White ,Quercus alba,Quercus ,Fagaceae,21,Poor,Moderate,1,Yes,Reduce risk of branch stem and/or root failure,...,Walking path,...,Branches,Probable,Medium,Somewhat likely,Severe,...,...
248,Oak-Northern Red ,Quercus rubra,Quercus,Fagaceae,32,Fair,Moderate,1,Yes,Reduce risk of branch stem and/or root failure,...,Sidewalk,...,Branches,Probable,Medium,Somewhat likely,Severe,...,...
261,Oak-White ,Quercus alba,Quercus ,Fagaceae,42,Good,Moderate,1,Yes,Reduce risk of branch stem and/or root failure,...,Sidewalk,Bike rack,Branches,Probable,Medium,Somewhat likely,Severe,...,...
263,Oak-White ,Quercus alba,Quercus ,Fagaceae,23,Good,Moderate,1,Yes,Reduce risk of branch stem and/or root failure,...,Sidewalk,...,Branches,Probable,Medium,Somewhat likely,Severe,...,...
270,Oak-Northern Red ,Quercus rubra,Quercus,Fagaceae,25,Good,Moderate,1,Yes,Reduce risk of branch stem and/or root failure,...,Picnic table,Sidewalk,Branches,Probable,Medium,Somewhat likely,Severe,...,...
272,Oak-White ,Quercus alba,Quercus ,Fagaceae,32,Good,Moderate,1,Yes,Reduce risk of branch stem and/or root failure,...,Sidewalk,...,Branches,Probable,Medium,Somewhat likely,Severe,...,...
280,Oak-White ,Quercus alba,Quercus ,Fagaceae,24,Good,Moderate,1,Yes,Reduce risk of branch stem and/or root failure,...,Bench,Sidewalk,Branches,Probable,Medium,Somewhat likely,Severe,...,...
302,Oak-White ,Quercus alba,Quercus ,Fagaceae,23,Good,Moderate,1,Yes,Reduce risk of branch stem and/or root failure,...,Sidewalk,...,Branches,Probable,Medium,Somewhat likely,Severe,...,...
306,Oak-White ,Quercus alba,Quercus ,Fagaceae,27,Fair,Moderate,1,Yes,Reduce risk of branch stem and/or root failure,...,Sitting area,Walking path,Branches,Probable,Medium,Somewhat likely,Severe,...,...
307,Oak-White ,Quercus alba,Quercus ,Fagaceae,37,Good,Moderate,1,Yes,Reduce risk of branch stem and/or root failure,...,Picnic table,...,Branches,Probable,Medium,Somewhat likely,Severe,...,...
308,Oak-White ,Quercus alba,Quercus ,Fagaceae,21,Good,Moderate,1,Yes,Reduce risk of branch stem and/or root failure,...,Picnic table,...,Branches,Probable,Medium,Somewhat likely,Severe,...,...
319,Willow-Babylon Weeping ,Salix babylonia,Salix,Salicaceae,28,Fair,Moderate,1,Yes,Reduce risk of branch stem and/or root failure,...,Sidewalk,Bridge,Branches,Probable,Medium,Somewhat likely,Severe,...,...
323,Maple-Red ,Acer rubrum,Acer,Sapindaceae,18,Poor,Moderate,1,...,...,Remove,Bench,Sidewalk,Branches,Probable,Medium,Somewhat likely,Severe,...,...
329,Beech-American ,Fagus grandifolia,Fagus,Fagaceae,34,Good,Moderate,1,Yes,Reduce risk of branch stem and/or root failure,...,Parking,...,Branches,Probable,Medium,Somewhat likely,Severe,...,...
334,Oak-Northern Red ,Quercus rubra,Quercus,Fagaceae,26,Good,Moderate,1,Yes,Reduce risk of branch stem and/or root failure,...,Sidewalk,Parking,Branches,Probable,Medium,Somewhat likely,Severe,...,...
338,Oak-White ,Quercus alba,Quercus ,Fagaceae,28,Poor,Moderate,1,Yes,Reduce risk of branch stem and/or root failure,...,Parking,...,Branches,Probable,Medium,Somewhat likely,Severe,...,...
339,Oak-White ,Quercus alba,Quercus ,Fagaceae,25,Good,Moderate,1,Yes,Reduce risk of branch stem and/or root failure,...,Parking,...,Branches,Imminent,Low,Somewhat likely,Severe,...,...
349,Locust-Black ,Robinia pseudoacacia,Robinia,Fabaceae,15,Good,Moderate,1,Yes,Reduce risk of branch stem and/or root failure,...,Sidewalk,...,Branches,Probable,Medium,Somewhat likely,Severe,...,...
354,Oak-White ,Quercus alba,Quercus ,Fagaceae,20,Good,Moderate,1,Yes,Reduce risk of branch stem and/or root failure,...,Parking,...,Branches,Probable,Medium,Somewhat likely,Severe,...,...
372,Oak-White ,Quercus alba,Quercus ,Fagaceae,43,Good,Moderate,1,Yes,Reduce risk of branch stem and/or root failure,...,Parking,...,Branches,Probable,Medium,Somewhat likely,Severe,...,...
373,Oak-Northern Red ,Quercus rubra,Quercus,Fagaceae,28,Fair,Moderate,1,Yes,Reduce risk of branch stem and/or root failure,...,Sidewalk,...,Branches,Probable,Medium,Somewhat likely,Severe,...,...
374,Oak-Northern Red ,Quercus rubra,Quercus,Fagaceae,42,Poor,Moderate,1,Yes,Reduce risk of branch stem and/or root failure,...,Sidewalk,Building,Branches,Probable,Medium,Somewhat likely,Severe,Yes,...
386,Oak-White ,Quercus alba,Quercus ,Fagaceae,36,Fair,Moderate,1,Yes,Reduce risk of branch stem and/or root failure,...,Parking,Sidewalk,Branches,Probable,Medium,Somewhat likely,Severe,...,...
401,Oak-Pin ,Quercus palustris,Quercus,Fagaceae,27,Poor,Moderate,1,...,...,Remove,Walking path,Parking,Branches,Probable,Medium,Somewhat likely,Severe,...,...
441,Oak-White ,Quercus alba,Quercus ,Fagaceae,39,Fair,Moderate,1,Yes,Reduce risk of branch stem and/or root failure,...,Walking path,...,Branches,Probable,Medium,Somewhat likely,Severe,...,...
